position,person,personID,start,end
President,Mohamed Ould Ghazouani,Q12241106,2019-08-01,
Prime Minister,Mohamed Ould Bilal,Q98137599,2020-08-06,
Minister of Agriculture,Yahya Ould Ahmed El Waghef,Q1371357,2022-09-06,
"Minister of Culture, Youth, Sports and Relations with Parliament",Mohamed Ould Soueidatt,Q114293085,2022-09-06,
"Minister of Digital Transformation, Innovation, and Modernization of Administration",Moktar Ahmed Yedali,Q114293087,2022-09-06,
Minister of Economic Affairs and Promotion of Productive Sectors,Ousmane Mamoudou Kane,Q114293092,2022-04-01,
Minister of Employment and Vocational Training,Niang Mamoudou,Q114293091,2022-09-06,
Minister of Energy and Oil,Abdessalam Ould Mohamed Saleh,Q114293058,2022-04-01,
Minister of Environment and Sustainable Development,Lalya Ali Camara,Q114293074,2022-09-06,
Minister of Equipement and Transports,Nany Ould Chrougha,Q114293090,2022-09-06,
Minister of Finance,Isselmou Ould Mohamed M'bady,Q114293072,2022-04-01,
Minister of Fishing and Maritime Economy,Mohamed Ould Abedeen Ould Ameyev,Q114293084,2022-04-01,
Minister of Foreign Affairs,Mohamed Salem Ould Merzoug,Q114107123,2022-03-29,
Minister of Health,Moktar Ould Dahi,Q114293088,2022-04-01,
Minister of Higher Education and Scientific Research,Mohamed Lemine Ould Aboye Ould Cheikh El Hadrami,Q3318670,2022-04-01,
"Minister of Housing, Urbanism and Land Planning",Baba Ahmed Ould Sidi Mohamed,Q5715910,2022-04-01,
Minister of Islamic Affairs and Original Education,Dah Ould Sidi Ould Amar Taleb,Q114293065,2022-04-01,
Minister of Justice,Mohamed Mahmoud Ould Cheikh Abdoullah Ould Boya,Q114293081,2022-04-01,
Minister of Livestock,Mohamed Ould Abdalahi Ould Ethmane,Q114293083,2022-09-26,
Minister of National Defense,Hanana Ould Sidi,Q114293069,2022-04-01,
Minister of National Education and Reform of Education System,Brahim Vall Ould Mohamed Lemine,Q114293062,2022-09-26,
Minister of Public Service and Labor,Zeinebou Mint Ahmednah,Q114293094,2022-09-26,
Minister of Social Action,Khattar Ould Cheibani,Q114293073,2022-04-01,
"Minister of Trade, Industry, Handicrafts, and Tourism",Lamrabott Ould Bennahi,Q114293076,2022-04-01,
Minister of Water and Sanitation,Sidi Mohamed Ould Taleb Omar,Q114293093,2022-04-01,
Minister of the Interior and Decentralisation,Mohamed Ahmed Ould Mohamed Lemine,Q114293078,2022-04-01,
Minister Counsellor at the Presidency of the Republic,Dr. Coumba Ba,Q114293066,2022-04-01,
Minister Counsellor at the Presidency of the Republic,Naha Mint Mouknass,Q12194248,2022-04-01,
Minister Secretary-General of Government,Lam Moctar Alhousseyni,Q114293075,2022-09-26,
Minister Secretary-General of the Presidency of the Republic,Moulaye Ould Mohamed Laghdaf,Q440509,2022-09-06,
Government Spokesperson,Nany Ould Chrougha,Q114293090,2022-09-06,
Commissioner for Food Security,Fatimetou Mint Mahfoudh Ould Khattri,Q114293067,2022-04-01,
"Commissioner for Human Rights, Humanitarian Action, and Relations with Civil Society",Cheikh Ahmedou Ould Ahmed Salem Ould Sidi,Q114293063,2022-04-01,
General Representative for National Solidarity and Anti-Exclusion,Mohamed Ali Ould Sidi Mohamed,Q6891015,2022-04-01,
Governor of the Central Bank of Mauritania,Mohamed Lemine Ould Dhehby,Q114293080,2022-03-31,
